ticker,listing
AAPL,US
MSFT,US
NVDA,US
AMZN,US
META,US
GOOGL,US
GOOG,US
TSLA,US
AVGO,US
COST,US
NFLX,US
AMD,US
PEP,US
ADBE,US
CSCO,US
TMUS,US
INTC,US
QCOM,US
INTU,US
AMAT,US
ISRG,US
BKNG,US
ADP,US
VRTX,US
SBUX,US
GILD,US
MU,US
REGN,US
PANW,US
LRCX,US
MELI,US
KLAC,US
SNPS,US
CDNS,US
CRWD,US
MAR,US
ORLY,US
CTAS,US
PCAR,US
MNST,US
DXCM,US
WDAY,US
ROST,US
AEP,US
PAYX,US
FAST,US
KDP,US
IDXX,US
CPRT,US
EA,US
XEL,US
EXC,US
BKR,US
CTSH,US
GEHC,US
TEAM,US
CSGP,US
ANSS,US
DDOG,US
ZS,US
ON,US
CDW,US
FTNT,US
BIIB,US
GFS,US
ARM,US
MDB,US
TTD,US
CCEP,US
DLTR,US
ILMN,US
WBD,US
ALGN,US
MRNA,US
PDD,US
ABNB,US
DASH,US
COIN,US
PYPL,US
SHOP,US
