ticker,listing
AAPL,US
MSFT,US
NVDA,US
AVGO,US
ORCL,US
CRM,US
ADBE,US
CSCO,US
ACN,US
AMD,US
INTC,US
QCOM,US
TXN,US
IBM,US
NOW,US
AMZN,US
TSLA,US
HD,US
NKE,US
SBUX,US
MCD,US
LOW,US
BKNG,US
TJX,US
KO,US
PEP,US
WMT,US
COST,US
PG,US
PM,US
MO,US
CL,US
JPM,US
BAC,US
GS,US
MS,US
V,US
MA,US
AXP,US
BLK,US
JNJ,US
UNH,US
PFE,US
ABBV,US
MRK,US
LLY,US
TMO,US
ABT,US
XOM,US
CVX,US
COP,US
SLB,US
EOG,US
MPC,US
CAT,US
GE,US
HON,US
UPS,US
BA,US
RTX,US
DE,US
LMT,US
LIN,US
APD,US
SHW,US
NEM,US
FCX,US
ECL,US
NEE,US
DUK,US
SO,US
D,US
AEP,US
AMT,US
PLD,US
O,US
SPG,US
CCI,US
META,US
GOOGL,US
GOOG,US
NFLX,US
DIS,US
CMCSA,US
T,US
VZ,US
CHTR,US
